ID,Teff,logg,Tmag
233721982,3458.0,4.79783,11.5288
408617712,3753.0,4.61815,11.5329
235902496,3580.0,4.72219,11.5331
259109541,3895.0,4.69165,11.5342
35226277,3879.0,4.69177,11.5348
12989571,3857.0,4.6773,11.5365
198241747,3546.0,4.57863,11.5366
91436439,3677.0,4.72312,11.5402
279923328,3983.0,4.6399,11.5413
63585149,3463.0,4.88585,11.5431
256557335,3791.0,4.69868,11.545
229784568,3550.0,4.73293,11.5464
307478744,3938.0,4.6358,11.5464
407457207,3269.0,5.00415,11.5469
235685589,3735.0,4.60227,11.547
285277970,3306.0,4.76055,11.5481
354150964,3721.0,4.65472,11.5481
470674993,3534.0,4.723,11.5513
331791607,3852.0,4.6464,11.5517
409529230,3215.0,5.03505,11.5524
341816295,3943.0,4.66841,11.5527
467609384,3875.66,4.56004,11.554
259321321,3529.0,4.69687,11.5583
352513787,3695.0,4.76688,11.561
285903673,3197.0,4.98898,11.5616
279601078,3558.0,4.75618,11.5639
198479798,3957.0,4.7441,11.564
351361370,3673.0,4.70537,11.5656
289137420,3670.0,4.71679,11.569
433563551,3578.0,4.75268,11.5715
341872447,3901.0,4.66605,11.5747
250495880,3815.0,4.64808,11.5766
441800756,3777.0,4.64853,11.5789
68155805,3896.0,4.67046,11.5789
366124061,3477.0,4.58695,11.5791
356785736,3873.0,4.73303,11.5795
334780804,3611.0,4.61488,11.5822
230394586,3458.0,4.79562,11.5846
139530200,3852.0,4.7557,11.5858
230013312,3799.0,4.62703,11.5882
461512872,3643.0,4.74027,11.5896
468634315,3861.0,4.73299,11.5897
65644951,3252.0,4.79484,11.5905
269913686,3483.0,4.86555,11.5913
265062818,3867.0,4.65486,11.5924
317846468,3555.0,4.75787,11.5937
470206292,3624.0,4.75466,11.5951
381589243,3546.0,4.75711,11.5964
104058575,3924.0,4.63758,11.5966
458865430,3948.0,4.64443,11.5968
407155253,3933.0,4.61621,11.5972
235710076,3979.0,4.60077,11.5976
387333147,3546.0,4.72281,11.5987
427769438,3680.0,4.77129,11.5994
388566010,3449.0,4.94629,11.5996
219741102,3600.0,4.76278,11.6
366579153,3564.0,4.7249,11.6007
288299534,3715.0,4.72284,11.6025
71926656,3455.0,4.81312,11.6034
351463321,3838.0,4.67855,11.6039
233721859,3512.0,4.75274,11.6042
139377823,3411.0,4.79519,11.6051
373700639,3592.0,4.7359,11.6053
81594701,3814.0,4.65743,11.6053
420500461,3825.0,4.67118,11.6055
403884122,3568.0,4.77739,11.6079
46617577,3914.0,4.66647,11.6092
311931991,3298.0,5.05412,11.6104
381729639,3644.0,4.68322,11.6105
402746575,3588.0,4.79096,11.6111
346902454,3496.0,4.79934,11.6118
369826081,3444.0,4.7747,11.6121
358899721,3243.0,4.84864,11.6128
288516176,3289.0,4.94344,11.6132
219869214,3870.0,4.6743,11.6138
406855037,3864.0,4.57622,11.614
229413945,3589.0,4.641,11.6145
198418762,3701.0,4.65039,11.6146
219813337,3749.0,4.68553,11.6154
424388625,3409.0,4.81819,11.6161
229588573,3929.0,4.6569,11.6201
357589855,3743.0,4.68207,11.6207
219865365,3298.0,4.88521,11.6219
415963064,3802.0,4.71999,11.6224
94476278,3926.95,4.53499,11.6241
251117773,3798.0,4.66471,11.6249
441717812,3447.0,4.82708,11.6254
251406613,3773.0,4.5675,11.628
229553083,3525.0,4.79036,11.6286
385443961,3664.0,4.69818,11.63
233537455,3980.0,4.33526,11.6303
250662415,3598.0,4.68372,11.6314
21002564,3499.0,4.73991,11.6326
191704126,3686.0,4.6766,11.6328
353726069,3457.0,4.85448,11.638
288858545,3940.0,4.34152,11.6388
436872225,3861.0,4.69338,11.6393
441722120,3803.0,4.64353,11.6401
201180599,3467.0,4.74181,11.6401
288510911,3767.0,4.78797,11.6451
321685373,3845.0,4.68705,11.6483
11996814,3975.0,4.62844,11.6484
264006446,3487.0,4.84126,11.6489
352926056,3864.0,4.67008,11.6495
405414542,3372.0,4.80495,11.6503
260031811,3507.0,4.75712,11.6534
50198047,3595.0,4.72644,11.6557
165471200,3397.0,4.84039,11.656
433352209,3338.0,4.99225,11.658
238720272,3379.0,4.86213,11.6583
83342983,3793.0,4.79068,11.6586
312546572,3428.0,4.84557,11.659
287151936,3582.0,4.84338,11.6593
354631404,3256.0,4.76964,11.66
288946067,3570.0,4.79138,11.6603
308605383,3544.0,4.73546,11.6624
441808296,3911.0,4.63499,11.6639
268405086,3999.0,4.35283,11.6643
308289283,3472.0,4.81005,11.6662
353894348,3606.0,4.70928,11.6667
229945262,3682.0,4.28259,11.6707
381593723,3359.0,4.84521,11.6738
428077891,3564.0,4.80244,11.6753
230390629,3888.0,4.65633,11.6753
430327885,3466.0,4.7371,11.6755
186717795,3602.0,4.67963,11.6756
298662343,3927.0,4.28721,11.6788
283907703,3465.0,4.74883,11.6788
250505127,3900.0,4.65591,11.6789
368309715,3807.0,4.69554,11.6804
370595343,3397.0,4.82676,11.6808
435590012,3847.0,4.66614,11.6812
252110114,2969.0,5.13671,11.6833
367461626,3712.0,4.69049,11.6847
329350004,3605.0,4.74283,11.6866
302623007,3951.0,4.64275,11.6922
235685961,3733.0,4.68507,11.6937
376405406,3555.0,4.73697,11.6953
137262875,3326.0,4.77574,11.6953
117317833,3988.0,4.62145,11.6954
196947763,3489.0,4.76806,11.6994
280416535,3258.0,4.82696,11.7001
445290479,3498.0,4.80157,11.7005
50770953,3401.0,4.78504,11.705
198357674,3594.0,4.83942,11.705
189672828,3601.0,4.81451,11.7061
299329145,3634.0,4.67286,11.7064
14045247,3867.0,4.60575,11.7084
356700071,3707.0,4.63564,11.7088
139555011,3628.0,4.76557,11.7098
461538299,3537.0,4.74043,11.71
